question	sentence
制作一件袍子需要 2 匹蓝色纤维布料和这个数量一半的白色纤维布料。它一共需要用掉多少匹布料？	Original problem: 制作一件袍子需要2匹蓝色纤维布料和这个数量一半的白色纤维布料。它一共需要用掉多少匹布料？
制作一件袍子需要 2 匹蓝色纤维布料和这个数量一半的白色纤维布料。它一共需要用掉多少匹布料？	制作一件袍子 (Making a robe) 需要 (requires) 2匹 (2 units) 蓝色纤维布料 (blue fabric) 和 (and) 这个数量一半的 (half of this amount) 白色纤维布料 (white fabric).
图拉去烘焙店买了各种不同的糕点。她买了 3 打甜甜圈（每打 68 美元）、2 打迷你纸杯蛋糕（每打 80 美元）和 6 打迷你奶酪蛋糕（每打 55 美元）。总共花了多少钱？	For example, maybe the problem said 68 cents instead of dollars, but no, the problem says每打68美元, which is 68 US dollars per dozen.
图拉去烘焙店买了各种不同的糕点。她买了 3 打甜甜圈（每打 68 美元）、2 打迷你纸杯蛋糕（每打 80 美元）和 6 打迷你奶酪蛋糕（每打 55 美元）。总共花了多少钱？	She bought 3 打甜甜圈 (3 dozen donuts)、2 打迷你纸杯蛋糕 (2 dozen mini cupcakes) and 6 打迷你奶酪蛋糕 (6 dozen mini cheesecakes).She bought 3 打甜甜圈 (3 dozen donuts)、2 打迷你纸杯蛋糕 (2 dozen mini cupcakes) and 6 打迷你奶酪蛋糕 (6 dozen mini cheesecakes).
约翰照顾 10 条狗。每条狗每天的事务处理和遛狗所需的时间是 0.5 小时。他每周要花多少时间来照顾这些狗？	The original problem says: 约翰照顾10条狗。每条狗的事务处理和遛狗每天需要0.5小时。他每周要花多少时间来照顾这些狗？
约翰打算卖掉自己的所有玩具，然后用这笔钱购买电子游戏。他有 13 套乐高，每套卖 15 美元。他最后买了 8 款电子游戏，每款 20 美元，并且他还剩下 5 美元。他还剩下多少套乐高？	Original problem: 约翰打算卖掉自己的所有玩具，然后用这笔钱购买电子游戏。他有 13 套乐高，每套卖 15 美元。他最后买了 8 款电子游戏，每款 20 美元，并且他还剩下 5 美元。他还剩下多少套乐高？
琼斯奶奶烤了 5 张苹果派，当作消防员的午餐。她将每张派切成了 8 片，然后将这 5 张派放在外面的自助餐桌上供宾客自取。午餐结束时，在宾客吃完各自拿走的派后，还剩下 14 片派。宾客拿走了多少张派？	Wait, the original problem says: 琼斯奶奶烤了5张苹果派
琼斯奶奶烤了 5 张苹果派，当作消防员的午餐。她将每张派切成了 8 片，然后将这 5 张派放在外面的自助餐桌上供宾客自取。午餐结束时，在宾客吃完各自拿走的派后，还剩下 14 片派。宾客拿走了多少张派？	So, in Chinese, 三又四分之一张派.
琼斯奶奶烤了 5 张苹果派，当作消防员的午餐。她将每张派切成了 8 片，然后将这 5 张派放在外面的自助餐桌上供宾客自取。午餐结束时，在宾客吃完各自拿走的派后，还剩下 14 片派。宾客拿走了多少张派？	In Chinese, you can write 3.25张 or 三又四分之一张.In Chinese, you can write 3.25张 or 三又四分之一张.
琼斯奶奶烤了 5 张苹果派，当作消防员的午餐。她将每张派切成了 8 片，然后将这 5 张派放在外面的自助餐桌上供宾客自取。午餐结束时，在宾客吃完各自拿走的派后，还剩下 14 片派。宾客拿走了多少张派？	So, in Chinese, you can write 三又四分之一张.
