question	sentence
แคลร์ทำออมเล็ตใส่ไข่ 3 ฟองเป็นมื้อเช้าทุกวัน ใน 4 สัปดาห์ เธอจะกินไข่ไปกี่โหล	In the original problem, numbers are written in Thai: 3 ฟอง, 4 สัปดาห์.
ริชาร์ดอาศัยอยู่ในอาคารอพาร์ตเมนต์สูง 15 ชั้น แต่ละชั้นมีห้อง 8 ยูนิต และมีผู้อาศัยอยู่ 3/4 ของยูนิตทั้งหมด จำนวนยูนิตทั้งหมดที่ไม่มีผู้อาศัยคือกี่ยูนิต	For example, maybe误以为每层的占用情况不同，或者认为每个单元的占用情况不同
ลอยด์มีฟาร์มไข่ไก่ ไก่ของเขาวางไข่วันละ 252 ฟอง โดยเขานำไปขายได้โหลละ $2 ลอยด์มีรายได้จากไข่สัปดาห์ละกี่ดอลลาร์	The problem says: ลอยด์มีฟาร์มไข่ไก่ ไก่ของเขาวางไข่วันละ 252 ฟอง โดยเขานำไปขายได้โหลละ
บริษัทจ่ายค่าตอบแทนให้พนักงาน $600 ต่อเดือน โดยบริษัทมีนโยบายขึ้นเงินเดือนให้พนักงาน 10% จากฐานเงินเดือนเริ่มต้นทุกปีในกรณีที่พนักงานทำงานกับบริษัทมานานห้าปี หากซิลวีทำงานที่บริษัทครบห้าปีเมื่อเดือนธันวาคมที่ผ่านมา ซิลวีจะได้รับเงินเดือนรวมตลอดทั้งปีเท่าใดหลังจากทำงานต่ออีกสามปี	"- ซิลวีจะได้รับเงินเดือนรวมตลอดทั้งปีเท่าใด: How much total monthly salary for the year will Sylvia receive
- หลังจากทำงานต่ออีกสามปี: after working three more years"
เอมิลีมีลูก 4 คน ชื่อ เอมี แจ็กสัน คอรีย์ และเจมส์ เอมีอายุมากกว่าแจ็กสัน 5 ปี และอายุน้อยกว่าคอรีย์ 2 ปี หากเจมส์มีอายุ 10 ปี และอายุน้อยกว่าคอรีย์ 1 ปี แจ็กสันมีอายุเท่าใด	Yes, the problem mentions เอมี, แจ็กสัน, คอรีย์, และเจมส์.
โคดี้กินคุกกี้มากกว่าอาเมียร์สามเท่า หากอาเมียร์กินคุกกี้ไป 5 ชิ้น ทั้งสองคนกินคุกกี้รวมกันทั้งหมดกี่ชิ้น	- โคดี้ (Cody) + กินคุกกี้ (eats cookies) + มากกว่า (more than) + อาเมียร์ (Amir) + สามเท่า (three times).
โคดี้กินคุกกี้มากกว่าอาเมียร์สามเท่า หากอาเมียร์กินคุกกี้ไป 5 ชิ้น ทั้งสองคนกินคุกกี้รวมกันทั้งหมดกี่ชิ้น	- โคดี้กินคุกกี้มากกว่าอาเมียร์สามเท่า: Cody eats cookies more than Amier three times.
โคดี้กินคุกกี้มากกว่าอาเมียร์สามเท่า หากอาเมียร์กินคุกกี้ไป 5 ชิ้น ทั้งสองคนกินคุกกี้รวมกันทั้งหมดกี่ชิ้น	- หากอาเมียร์กินคุกกี้ไป 5 ชิ้น: If Amier eats 5 pieces.
โคดี้กินคุกกี้มากกว่าอาเมียร์สามเท่า หากอาเมียร์กินคุกกี้ไป 5 ชิ้น ทั้งสองคนกินคุกกี้รวมกันทั้งหมดกี่ชิ้น	- ทั้งสองคนกินคุกกี้รวมกันทั้งหมดกี่ชิ้น: How many pieces of cookies do both of them eat in total?
หลังจากย้ายมาเรียนที่โรงเรียนใหม่ เอมีก็มีเพื่อนใหม่มากกว่าลิลลี 20 คน หากลิลลีมีเพื่อน 50 คน ลิลลีและเอมีมีเพื่อนรวมกันทั้งสิ้นกี่คน	หลังจากย้ายมาเรียนที่โรงเรียนใหม่ - After moving to study at a new school
