question	sentence
Джеймс решает бегать по 3 спринта 3 раза в неделю. Он пробегает 60 метров за каждый спринт. Сколько всего метров он пробегает в неделю?	Maybe I should write it as 540 метров в неделю.
Кайлар пошел в магазин, чтобы купить стаканы для своей новой квартиры. Один стакан стоит 5 $, но каждый второй стакан стоит всего лишь 60 % от цены. Кайлар хочет купить 16 стаканов. Сколько он должен за них заплатить?	"- 1 доллар
- 2, 3, 4 доллара
- 5,6,7,8,9,0 долларов (for the last digit)"
Кайлар пошел в магазин, чтобы купить стаканы для своей новой квартиры. Один стакан стоит 5 $, но каждый второй стакан стоит всего лишь 60 % от цены. Кайлар хочет купить 16 стаканов. Сколько он должен за них заплатить?	11 долларов, 12 долларов, etc., but actually, in Russian, for numbers 11-19, it's all in the genitive case.
Кайлар пошел в магазин, чтобы купить стаканы для своей новой квартиры. Один стакан стоит 5 $, но каждый второй стакан стоит всего лишь 60 % от цены. Кайлар хочет купить 16 стаканов. Сколько он должен за них заплатить?	"- 1 доллар (nominative)
- 2-4 доллара (genitive singular)
- 5-20 долларов (genitive plural)
- Then 21, 31 etc. доллар (nominative)
- 22-24, 32-34 etc. доллара (genitive singular)
- 25-30 etc. долларов (genitive plural)"
Кайлар пошел в магазин, чтобы купить стаканы для своей новой квартиры. Один стакан стоит 5 $, но каждый второй стакан стоит всего лишь 60 % от цены. Кайлар хочет купить 16 стаканов. Сколько он должен за них заплатить?	"**Final Answer**
Кайлар должен заплатить \boxed{64} доллара."
Мари заказала одно блюдо из курицы, которое стоит 12 $, 5 пакетов молока, которое стоит по 3 $ за каждый, 4 яблока, которые стоят по 1,50 $ за каждое, и несколько коробок пиццы. Всего Мари заплатила 50 $. Сколько коробок пиццы заказала Мари, если каждая коробка стоит 8,50 $?	"**Final Answer**
Мари заказала \boxed{2} коробки пиццы."
Джон планирует продать все свои игрушки и потратить деньги на покупку видеоигр. У него есть 13 наборов Lego, и он продает их по 15 $ каждый. В итоге он покупает 8 видеоигр за 20 $ каждая, и у него остается 5 $. Сколько наборов Lego у него еще осталось?	The problem says he ПЛАНИРОВАЛ продать все свои игрушки, but it doesn't say he actually did.
Согласно информации о пищевой ценности, в пакете чипсов содержится 250 калорий на порцию. Если в 300-граммовом пакете содержится 5 порций, сколько грамм вы можете съесть, если ваше ежедневное целевое количество калорий — 2000 и вы уже употребили 1800 калорий?	But the problem states 300-граммовом пакете содержится 5 порций.
В корзине находится 25 апельсинов, среди которых 1 гнилой, 20 % незрелые, 2 кислые, а остальные хорошие. Сколько хороших апельсинов?	The problem states: 25 oranges, 1 гнилой (rotten), 20% незрелые (unripe), 2 кислые (sour), остальные хорошие (the rest are good).
Если Марси будет работать на одну и ту же компанию 40 лет, она получит годовую пенсию в размере 50 000 $ в год. После 20 лет она получает право на 5 % от величины пенсии в год. Если она уволится через 30 лет, какая у нее будет годовая пенсия?	The problem mentions that after 20 years, she gets 5% от величины пенсии в год.
Число проданных копий первого альбома Мэрилин в 10 раз превысило продажи Харальда. Если вместе они продали 88 000 копий, сколько копий продал Харальд?	If A is в 10 раз больше чем B, that means A = 10B.
Число проданных копий первого альбома Мэрилин в 10 раз превысило продажи Харальда. Если вместе они продали 88 000 копий, сколько копий продал Харальд?	But if A превысило B в 10 раз, that could also mean A = B + 10B = 11B.
Число проданных копий первого альбома Мэрилин в 10 раз превысило продажи Харальда. Если вместе они продали 88 000 копий, сколько копий продал Харальд?	If Marilyn's sales are в 10 раз больше, that would be 10,000.
Раньше Ли мог пробежать 400 метров с препятствиями на две секунды быстрее, чем Джеральд пробегал 400 метров с препятствиями. Однако Джеральд изменил диету, что повысило его скорость на 10 %. Если Ли пробегает 400 метров с препятствиями за 38 секунд, за сколько секунд Джеральд может пробежать 400 метров с препятствиями с учетом его улучшенной диеты?	So 400/11 seconds, which can be written as 36 целых 4/11 секунд (36 whole 4/11 seconds).
Джону нравится выпивать стакан воды за завтраком, обедом и ужином. Кроме того, он также выпивает один стакан перед сном. Джон поступает так каждый будний день, но по выходным предпочитает расслабиться и вместо этого на ужин пьет содовую. Сколько стаканов воды Джон выпивает за неделю?	"- Джон поступает так каждый будний день (John does this every weekday)
- но по выходным предпочитает расслабиться (but on weekends he prefers to relax)
- и вместо этого на ужин пьет содовую (and instead of this, at dinner drinks soda)"
У Джона 3 коробки. Каждая коробка имеет размер 5 дюймов на 6 дюймов на 4 дюйма. Толщина стенок — 1 дюйм. Каков общий внутренний объем всех 3 коробок?	So, the answer is 72 кубических дюймов.
После перехода в новую школу Эми завела на 20 друзей больше, чем Лили. Если у Лили появилось 50 друзей, сколько всего друзей у Лили и Эми вместе?	So, in Russian numerals, that would be сто двадцать.
Пэм и Фред пошли в парк аттракционов. Пэм прокатилась на американских горках 2 раза, а Фред — 4 раза. После этого они оба решили 2 раза прокатиться на санках. Если каждая поездка стоит 6 билетов, сколько билетов они потратили за этот день?	"Alternatively, if the problem considered the sled rides as per ride, not per person, but the wording is ""each ride"" (каждая поездка), which is singular, so each instance of a person going on a ride."
Пэм и Фред пошли в парк аттракционов. Пэм прокатилась на американских горках 2 раза, а Фред — 4 раза. После этого они оба решили 2 раза прокатиться на санках. Если каждая поездка стоит 6 билетов, сколько билетов они потратили за этот день?	"But the problem says ""each ride"" (каждая поездка), which is a bit ambiguous."
Пэм и Фред пошли в парк аттракционов. Пэм прокатилась на американских горках 2 раза, а Фред — 4 раза. После этого они оба решили 2 раза прокатиться на санках. Если каждая поездка стоит 6 билетов, сколько билетов они потратили за этот день?	"But since the problem mentions ""each ride"" (каждая поездка), which is per person, the answer is 60."
Если мешочек шариков стоит 20 $ и цена каждые два месяца растет на 20 % от первоначальной, столько будет стоить мешочек шариков через 36 месяцев?	The problem says 20% от первоначальной, which is 20% of the initial price.
В служебном вагоне четыре птицы. Салли Два на три года старше, чем Грэнни Ред. Грэнни Ред в два раза старше, чем Салли Четыре. Если Салли Четыре столько же лет, сколько и Салли Тридцать два, а Салли Тридцать два 8 лет, каков общий возраст этих четырех птиц?	"The problem says ""Sally Two на три года старше, чем Granny Red."""
Сыр — любимая еда Карла. На этой неделе он каждый день съедал на обед один бутерброд с 2 кусочками сыра. 3 дня в неделю он ел на завтрак омлеты из яйца с сыром и использовал для омлета на один кусочек сыра больше, чем для бутерброда. Он приготовил большую кастрюлю макарон с сыром, чтобы ему хватило на несколько ужинов в неделю, и использовал 8 кусочков сыра. Сколько кусочков сыра он использовал?	But the problem says he used 8 кусочков сыра.
Дженет заняла 2000 $ и пообещала вернуть их с дополнительными 10 % от суммы. Если Дженет будет выплачивать 165 $ в месяц в течение 12 месяцев, сколько составит остаток средств Дженет к тому моменту?	If she pays $165 per month for 12 months, that's $1980, so the remaining amount she owes (остаток средств) would be $220.
Компания тратит 15 000 $ на рекламу за год, а затем тратит треть этой суммы на рекламу за еще один год. Какую общую сумму потратила компания на рекламу за эти два года?	Wait, actually, 20 000 is twenty thousand in Russian (два десятка тысяч or двадцать тысяч), whereas 2 000 is two thousand.
Рэм использует много ручек. Он обнаружил, что может экономить деньги, смешивая чернила из пяти пустых ручек, чтобы сделать одну полную ручку. Если он купит 25 ручек и воспользуется ими, чтобы сделать новые ручки, когда чернила окажутся на исходе, сколько всего ручек у него будет?	"The problem says: ""Rém использует много ручек."
Майк дружил по переписке с 5 людьми. Он перестал дружить по переписке с 2 из них. Каждый из них отправляет 2 письма в неделю длиной в 5 страниц. Он отвечает тем же. Он может написать страницу за 6 минут. Сколько часов он проводит за написанием в неделю?	Sentence 3: Каждый из них отправляет 2 письма в неделю... (Each of them [who?] sends 2 letters per week...)
